,2004-01,2004-06,2005-01,2005-06,2006-01,2006-06,2007-01,2007-06,2008-01,2008-06,2009-01,2009-06,2010-01,2010-06,2011-01,2011-06,2012-01,2012-06,2013-01,2013-06,2014-01,2014-06,2015-01,2015-06,2016-01,2016-06,2017-01,2017-06,2018-01,2018-06,2019-01,2019-06,2020-01,2020-06,2021-01,2021-06,2022-01,2022-06
15,CECO,CECO,CECO,CECO,BMET,BMET,BIIB,BRCM,BRCM,CHRW,CHRW,CHRW,CHRW,CHRW,BRCM,BMC,BIIB,BIIB,BIIB,BBBY,BBBY,BBBY,AVGO,AVGO,ADP,ADP,ADP,ADP,ADP,BIDU,"BIDU
","BIDU
","ADP
","BIDU
",TEAM,TEAM,TEAM,ASML
16,CDWC,CDWC,CDWC,CDWC,BRCM,BRCM,BMET,CHRW,CHRW,CA,CA,CA,CA,CA,CHRW,BRCM,BMC,BMC,BMC,BIIB,BIIB,BIIB,BIDU,BIDU,BIDU,BIDU,BIDU,BIDU,BIDU,BIIB,"BIIB
","BIIB
","BIDU
","BIIB
",ADSK,ADSK,ADSK,AZN
17,CEPH,CEPH,CEPH,CEPH,CDNS,CDNS,BRCM,CDNS,CDNS,CDNS,CELG,CELG,CELG,CELG,CA,CHRW,BRCM,BRCM,BRCM,BMC,BRCM,BRCM,BBBY,BBBY,BBBY,BBBY,CTAS,CTAS,CTAS,BMRN,"BMRN
","BMRN
","BIIB
","BMRN
",ADP,ADP,ADP,TEAM
18,CHKP,CHKP,CHKP,CHKP,CHRW,CHRW,CHRW,CDWC,CELG,CELG,CEPH,CEPH,CEPH,CEPH,CELG,CA,CHRW,CHRW,CHRW,BRCM,CHRW,CHRW,BIIB,BIIB,BIIB,BIIB,BIIB,BIIB,BIIB,BKNG,"BKNG
","BKNG
","BMRN
","BKNG
",BIDU,BIDU,BIDU,ADSK
19,CHIR,CHIR,CHIR,CHIR,CDWC,CDWC,CDNS,CELG,CEPH,CEPH,CHKP,CHKP,CERN,CERN,CEPH,CELG,CA,CA,CA,CHRW,CA,CA,BRCM,BRCM,BMRN,BMRN,BMRN,BMRN,BMRN,AVGO,"AVGO
","AVGO
","BKNG
","AVGO
",BIIB,BIIB,BIIB,BIDU
20,CTAS,CTAS,CTAS,CTAS,CELG,CELG,CDWC,CEPH,CHKP,CHKP,CTAS,CTAS,CHKP,CHKP,CERN,CEPH,CELG,CELG,CTRX,CA,CTRX,CTRX,CHRW,CHRW,AVGO,AVGO,AVGO,AVGO,AVGO,CA,"CDNS
","CDNS
","AVGO
","CDNS
",BKNG,BKNG,BKNG,BIIB
21,CSCO,CSCO,CSCO,CSCO,CKFR,CKFR,CELG,CHKP,CTAS,CTAS,CSCO,CSCO,CTAS,CTAS,CHKP,CERN,CERN,CERN,CELG,CTRX,CELG,CELG,CA,CA,CA,CA,CA,CA,CA,CDNS,"CELG
","CELG
","CDNS
","CDW
",AVGO,AVGO,AVGO,BKNG
22,CTXS,CTXS,CTXS,CTXS,CHKP,CHKP,CHKP,CKFR,CSCO,CSCO,CTXS,CTXS,CSCO,CSCO,CSCO,CHKP,CHKP,CHKP,CERN,CELG,CERN,CERN,CTRX,CTRX,CELG,CELG,CELG,CELG,CELG,CELG,"CERN
","CERN
","CDW
","CERN
",CDNS,CDNS,CDNS,AVGO
23,CMCSA,CMCSA,CMCSA,CMCSA,CHIR,CHIR,CKFR,CTAS,CTXS,CTXS,CTSH,CTSH,CTXS,CTXS,CTXS,CSCO,CSCO,CSCO,CHKP,CERN,CHTR,CHTR,CELG,CELG,CERN,CERN,CERN,CERN,CERN,CERN,"CHTR
","CHTR
","CERN
","CHTR
",CDW,CDW,CHTR,CDNS
24,CPWR,CPWR,CPWR,CPWR,CTAS,CTAS,CTAS,CSCO,CTSH,CTSH,CMCSA,CMCSA,CTSH,CTSH,CTSH,CTXS,CTXS,CTXS,CSCO,CHKP,CHKP,CHKP,CERN,CERN,CHTR,CHTR,CHTR,CHTR,CHTR,CHTR,"CHKP
","CHKP
","CHTR
","CHKP
",CERN,CERN,CTAS,CHTR
