,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
264,PDE,PETM,PETM,OSK,OSK,OZRK,OSK,ORI,PBI,PBI,PDCO,PCTY
265,PETM,PII,PII,PAY,PAY,PACW,OZRK,OSK,PCH,PCH,PEB,PDCE
266,PII,PKG,PKG,PB,PB,PAY,PACW,OZRK,PDCO,PDCO,PEN,PDCO
267,PKG,PL,PL,PCH,PCH,PB,PAY,PACW,PENN,PENN,PENN,PEB
268,PL,PLCM,PLCM,PII,PII,PCH,PB,PAY,PII,PII,PII,PEN
269,PLCM,PLT,PLT,PKG,PKG,PII,PBH,PB,PLT,PLT,PK,PFGC
270,PLT,PMTC,PMTC,PL,PL,PKG,PCH,PBF,PNFP,PNFP,PNFP,PGNY
271,PMTC,PNM,PNM,PLCM,PLCM,PLCM,PII,PBH,PNM,PNM,PNM,PII
272,PNM,PNR,PNR,PLT,PLT,PLT,PKG,PBI,POL,POL,POST,PK
273,PNR,PNRA,PNRA,PMTC,PNM,PNM,PLT,PCH,POOL,POOL,PPC,PNFP
274,PNRA,PPDI,PPDI,PMTC,PNRA,PNRA,PNM,PII,POST,POST,PRAH,PNM
275,PPDI,PRGO,PRGO,PNM,POST,POL,PNRA,PLT,PRAH,PRAH,PRG,POR
276,PRGO,PRSP,PRSP,PNRA,PRI,POST,POL,PNFP,PRI,PRI,PRI,POST
277,PRSP,PSS,PSS,POST,PTC,PRI,POOL,PNM,PTC,PTC,PRSP,POWI
278,PSS,PTEN,PTEN,PRI,PTEN,PTC,POST,POL,PTEN,PTEN,PSB,PPC
279,PTEN,PVH,PVH,PTEN,RAX,PTEN,PRI,POOL,PZZA,PZZA,PTC,PRGO
280,PVH,PXP,PXP,RAX,RBC,RAX,PRXL,POST,QEP,QEP,PZZA,PRI
281,PXP,QLGC,QLGC,RBC,RCII,RBC,PTC,PRI,R,R,QDEL,PSB
282,QLGC,QSFT,QSFT,RCII,RE,RCII,PTEN,PTC,RAMP,RAMP,QLYS,PZZA
283,QSFT,RAH,RAH,RE,REG,RDC,PVTB,PTEN,RBC,RBC,R,QDEL
284,RAH,RAX,RAX,REG,RFMD,RE,PZZA,PZZA,RDC,RDC,RAMP,QLYS
285,RAX,RBC,RBC,RFMD,RGA,REG,QCP,QCP,reports,reports,RBC,R
286,RBC,RCII,RCII,RGA,RGLD,RGA,QEP,QEP,RGA,RGA,reports,RCM
287,RCII,RDK,RDK,RGLD,RGS,RGLD,RBC,R,RGLD,RGLD,REXR,REXR
288,RDK,RE,RE,RGS,RJF,RJF,RDC,RBC,RIG,RIG,RGA,RGA
289,RE,REG,REG,RJF,RKT,RKT,RE,RDC,RLGY,RLGY,RGEN,RGEN
290,REG,RFMD,RFMD,RKT,RMD,RMD,REG,RGA,RNR,RNR,RGLD,RGLD
291,RFMD,RGA,RGA,RMD,ROL,RNR,RGA,RGLD,ROL,ROL,RH,RH
292,RGA,RGS,RGS,ROL,ROSE,ROL,RGLD,RIG,RPM,RPM,RLI,RLI
293,RGS,RJF,RJF,ROSE,ROVI,ROSE,RH,RNR,RRC,RRC,RNR,RNR
294,RJF,RKT,RKT,ROVI,RPM,ROVI,RJF,ROL,RS,RS,RPM,RPM
295,RKT,RMD,RMD,RPM,RRD,RPM,RMD,RPM,RYN,RYN,RS,RRC
296,RMD,ROL,ROL,RRD,RS,RRD,RNR,RS,SABR,SABR,RUN,RRX
297,ROL,ROVI,ROVI,RS,RVBD,RS,ROL,RYN,SAFM,SAFM,RYN,RS
298,ROVI,RPM,RPM,RVBD,RYN,RYN,RPM,SABR,SAIC,SAIC,SABR,RUN
299,RPM,RS,RS,RYN,SAIC,SAIC,RS,SAFM,SAM,SAM,SAFM,RYN
300,RS,RVBD,RVBD,SAIC,SBNY,SAM,RYN,SAIC,SBH,SBH,SAIC,SABR
301,RVBD,RYL,RYL,SBNY,SCHL,SBNY,SAIC,SAM,SBNY,SBNY,SAM,SAFM
302,RYL,RYN,RYN,SCHL,SCI,SCI,SAM,SBH,SBRA,SBRA,SBNY,SAIA
303,RYN,SCHL,SCHL,SCI,SEIC,SEIC,SBH,SBNY,SCI,SCI,SBRA,SAIC
304,SCHL,SCI,SCI,SEIC,SFG,SF,SBNY,SBRA,SEIC,SEIC,SCI,SAIL
305,SCI,SEIC,SEIC,SFG,SGMS,SFG,SCI,SCI,SF,SF,SEDG,SAM
306,SEIC,SFD,SFD,SGMS,SIG,SIG,SCOR,SEIC,SFM,SFM,SEIC,SBRA
307,SFD,SFG,SFG,SIG,SIVB,SIRO,SEIC,SF,SGMS,SGMS,SF,SCI
308,SFG,SGMS,SGMS,SIVB,SKS,SIVB,SF,SFM,SIG,SIG,SFM,SEIC
309,SGMS,SHAW,SHAW,SKS,SLAB,SKT,SFM,SIVB,SIX,SIX,SGMS,SF
310,SHAW,SIVB,SIVB,SLAB,SLG,SLAB,SIVB,SIX,SKT,SKT,SIGI,SFM
311,SIVB,SKS,SKS,SLG,SLGN,SLGN,SKT,SKT,SKX,SKX,SIX,SHC
312,SKS,SLAB,SLAB,SLGN,SLH,SLH,SKX,SKX,SLAB,SLAB,SKX,SIGI
313,SLAB,SLG,SLG,SLH,SLXP,SLM,SLAB,SLAB,SLGN,SLGN,SLAB,SITM
314,SLG,SLGN,SLGN,SLXP,SM,SM,SLGN,SLGN,SLM,SLM,SLGN,SIX
315,SLGN,SLH,SLH,SM,SMG,SMG,SLM,SLM,SM,SM,SLM,SKX
316,SLH,SM,SM,SMG,SMTC,SMTC,SM,SM,SMG,SMG,SMG,SLAB
317,SM,SMG,SMG,SMTC,SNH,SNH,SMG,SMG,SNH,SNH,SMTC,SLG
318,SMG,SMTC,SMTC,SNH,SNPS,SNPS,SNH,SNH,SNV,SNV,SNV,SLGN
319,SMTC,SNH,SNH,SNPS,SNV,SNV,SNPS,SNV,SNX,SNX,SNX,SLM
320,SNH,SNPS,SNPS,SNV,SON,SON,SNV,SNX,SON,SON,SON,SMG
321,SNPS,SNV,SNV,SON,SPN,SPN,SNX,SON,SPN,SPN,SR,SMTC
322,SNV,SON,SON,SPN,SPW,SPW,SON,SPN,STE,STE,SRC,SNV
323,SON,SPN,SPN,SPW,STE,STE,SPN,STE,STL,STL,SRCL,SNX
324,SPN,SPW,SPW,STE,STLD,STLD,STE,STL,STLD,STLD,SSD,SON
325,SPW,SRX,SRX,STLD,STR,STR,STLD,STLD,SWN,SWN,STL,SPWR
326,SRX,STE,STE,STR,SUNE,SUNE,SWX,SWN,SWX,SWX,STLD,SR
327,STE,STLD,STLD,SUNE,SVU,SVU,SXT,SWX,SXT,SXT,STOR,SRC
328,STLD,STR,STR,SVU,SWI,SWI,SYNA,SXT,SYNA,SYNA,STRA,SRCL
329,STR,STRA,STRA,SWI,SWKS,SXT,TCB,SYNA,SYNH,SYNH,SVC,SSD
330,STRA,SUG,SUG,SWKS,SXT,TCB,TCO,TCBI,TCBI,TCBI,SWX,STAA
331,SUG,SWKS,SWKS,SXT,TCB,TCO,TDS,TCF,TCF,TCF,SXT,STLD
332,SWKS,SXT,SXT,TCB,TCO,TDS,TDY,TCO,TCO,TCO,SYNA,STOR
333,SXT,TBL,TBL,TCO,TDS,TDW,TECD,TDC,TDC,TDC,SYNH,SWAV
334,TBL,TCB,TCB,TDS,TDW,TDY,TECH,TDS,TDS,TDS,TCBI,SWN
335,TCB,TCO,TCO,TDW,TECD,TECD,TER,TDY,TDY,TDY,TCF,SWX
336,TCO,TDS,TDS,TECD,TECH,TECH,TEX,TECD,TECD,TECD,TCO,SXT
337,TDS,TDW,TDW,TECH,TEX,TER,TFX,TECH,TECH,TECH,TDC,SYNA
338,TDW,TECD,TECD,TEX,TFX,TEX,TGI,TER,TER,TER,TDS,SYNH
339,TECD,TECH,TECH,TFX,TGI,TFX,THC,TEX,TEX,TEX,TECH,TCBI
340,TECH,TEX,TEX,TGI,THG,TGI,THG,TFX,TFX,TFX,TEX,TDC
341,TEX,TFX,TFX,THG,THO,THG,THO,TGNA,TGNA,TGNA,TGNA,TEX
342,TFX,THG,THG,THO,THOR,THO,THS,THC,THC,THC,THC,TGNA
343,THG,THO,THO,THOR,TIBX,THOR,TIME,THG,THG,THG,THG,THC
344,THO,THOR,THOR,TIBX,TKR,THS,TKR,THO,THO,THO,THO,THG
345,THOR,TIBX,TIBX,TKR,TOL,TIME,TOL,THS,THS,THS,THS,THO
346,TIBX,TIN,TIN,TOL,TPX,TKR,TPH,TKR,TKR,TKR,TKR,TKR
347,TIN,TKR,TKR,TPX,TR,TLN,TPX,TOL,TOL,TOL,TMHC,TMHC
348,TKR,TNB,TNB,TR,TRMB,TMST,TR,TPH,TPH,TPH,TOL,TNDM
349,TNB,TOL,TOL,TRMB,TRMK,TOL,TRMB,TPX,TPX,TPX,TPH,TNL
350,TOL,TR,TR,TRMK,TRN,TPX,TRMK,TR,TR,TR,TPX,TOL
351,TR,TRH,TRH,TRN,TSCO,TR,TRN,TRMB,TREE,TREE,TR,TPX
352,TRH,TRMB,TRMB,TSCO,TUP,TRMB,TTC,TRMK,TRMB,TRMB,TREE,TREX
353,TRMB,TRMK,TRMK,TUP,TW,TRMK,TUP,TRN,TRMK,TRMK,TREX,TRGP
354,TRMK,TRN,TRN,TW,TWTC,TRN,TXRH,TTC,TRN,TRN,TRIP,TRIP
355,TRN,TSCO,TSCO,TWTC,UA,TUP,TYL,TTWO,TTC,TTC,TRMB,TTC
356,TSCO,TUP,TUP,UA,UDR,TW,UE,TUP,TUP,TUP,TRMK,TTEK
357,TUP,TW,TW,UDR,UFS,TYL,UFS,TXRH,TXRH,TXRH,TRN,TXRH
358,TW,TWTC,TWTC,UFS,UGI,UDR,UGI,TYL,TYL,TYL,TTC,UA
359,TWTC,UA,UA,UGI,UHS,UE,ULTI,UBSI,UBSI,UBSI,TTEK,UAA
360,UA,UDR,UDR,UHS,UNFI,UFS,UMBF,UE,UE,UE,TXRH,UBSI
361,UDR,UGI,UGI,UNFI,UNT,UGI,UMPQ,UFS,UFS,UFS,UBSI,UGI
362,UGI,UHS,UHS,UNT,URI,ULTI,UNFI,UGI,UGI,UGI,UE,UMBF
363,UHS,UNT,UNT,URI,URS,UMPQ,UTHR,ULTI,ULTI,ULTI,UFS,UMPQ
364,UNT,URI,URI,URS,UTHR,UNFI,VAL,UMBF,UMBF,UMBF,UGI,UNM
365,URI,URS,URS,UTHR,UTIW,UNT,VLY,UMPQ,UMPQ,UMPQ,UMBF,UNVR
366,URS,UTHR,UTHR,UTIW,UVV,UTHR,VMI,UNFI,UNFI,UNFI,UMPQ,UTHR
367,UTHR,UTR,UTR,UVV,VAL,VAL,VSAT,UNIT,UNIT,UNIT,UNVR,VAC
368,UTR,UVV,UVV,VAL,VCI,VLY,VSH,URBN,URBN,URBN,URBN,VC
369,UVV,VAL,VAL,VCI,VCLK,VMI,VSM,UTHR,UTHR,UTHR,UTHR,VICR
370,VAL,VCLK,VCLK,VCLK,VLY,VSH,VSTO,VLY,VAC,VAC,VAC,VLY
371,VCLK,VLY,VLY,VLY,VMI,VSTO,VVC,VMI,VC,VC,VC,VMI
372,VLY,VMI,VMI,VMI,VSH,VVC,WAB,VSAT,VLY,VLY,VLY,VNT
373,VMI,VRTX,VRTX,VSH,VVC,WAB,WAFD,VSH,VMI,VMI,VMI,VOYA
374,VRTX,VSH,VSH,VVC,WAB,WAFD,WBMD,VSM,VSAT,VSAT,VSAT,VSAT
375,VSH,VVC,VVC,WAB,WABC,WBS,WBS,VVC,VSH,VSH,VSH,VSCO
376,VVC,WAB,WAB,WABC,WAFD,WCG,WCG,VVV,VSM,VSM,VVV,VSH
377,WAB,WABC,WABC,WAFD,WBS,WCN,WDR,WAB,VVC,VVC,WAFD,VVV
378,WABC,WBS,WBS,WBS,WCG,WDR,WEN,WAFD,VVV,VVV,WBS,WAFD
379,WBS,WCG,WCG,WCG,WCN,WEN,WERN,WBS,WAB,WAB,WEN,WBS
380,WCG,WCN,WCN,WCN,WDR,WERN,WETF,WCG,WAFD,WAFD,WERN,WEN
381,WCN,WDR,WDR,WDR,WEN,WETF,WEX,WEN,WBS,WBS,WEX,WERN
382,WDR,WEN,WEN,WEN,WERN,WEX,WGL,WERN,WEN,WEN,WH,WEX
383,WEN,WERN,WERN,WERN,WEX,WGL,WNR,WEX,WERN,WERN,WING,WH
384,WERN,WFSL,WFSL,WEX,WGL,WNR,WOOF,WGL,WEX,WEX,WOR,WING
385,WFSL,WGL,WGL,WGL,WMS,WOOF,WOR,WOR,WOR,WOR,WPX,WOLF
386,WGL,WGOV,WGOV,WMS,WOOF,WOR,WPG,WPG,WPX,WPX,WRI,WOR
387,WGOV,WMS,WMS,WOOF,WOR,WPG,WPX,WPX,WRB,WRB,WSM,WSM
388,WMS,WOOF,WOOF,WOR,WR,WPX,WR,WR,WRI,WRI,WSO,WSO
389,WOOF,WOR,WOR,WR,WRB,WR,WRB,WRB,WSM,WSM,WTFC,WTFC
390,WOR,WR,WR,WRB,WRB,WRB,WRI,WRI,WSO,WSO,WTRG,WTRG
391,WR,WRB,WRB,WRB,WRI,WRI,WSM,WSM,WST,WST,WW,WTS
392,WRB,WRC,WRC,WRI,WSM,WSM,WSO,WSO,WTFC,WTFC,WWD,WU
393,WRC,WRI,WRI,WSM,WSO,WSO,WST,WST,WTR,WTR,WWE,WWD
394,WRI,WSM,WSM,WSO,WTR,WTR,WTR,WTFC,WTW,WTW,WYND,WWE
395,WSM,WSO,WSO,WTR,WWAV,WWAV,WWAV,WTR,WWD,WWD,X,X
396,WSO,WTR,WTR,WWAV,WWD,WWD,WWD,WWD,WWE,WWE,XEC,XPO
397,WTR,XEC,XEC,WWD,XEC,X,X,X,WYND,WYND,XPO,XRX
398,XEC,ZBRA,ZBRA,XEC,XLS,Y,Y,Y,X,X,Y,Y
399,ZBRA,,,XLS,Y,ZBRA,ZBRA,ZBRA,Y,Y,YELP,YETI
,,,,Y,ZBRA,,,,ZBRA,ZBRA,,ZD
,,,,ZBRA,,,,,,,,
