,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
60,BYD,BYD,BYI,CBOE,CBOE,CDNS,CHS,CLH,CLB,CLB,CIEN,CIEN
61,BYI,BYI,CAKE,CBSH,CBSH,CEB,CIEN,CLI,CLGX,CLGX,CIT,CLF
62,CAKE,CAKE,CATY,CBST,CBST,CFR,CLC,CMC,CLH,CLH,CLGX,CLH
63,CATY,CATY,CBB,CBT,CBT,CGNX,CLGX,CMP,CLI,CLI,CLH,CMC
64,CBB,CBB,CBSH,CDNS,CDNS,CHD,CLH,CNK,CMC,CMC,CMC,CNO
65,CBSH,CBSH,CBT,CEB,CEB,CHS,CLI,CNO,CMD,CMD,CMD,CNX
66,CBT,CBT,CDNS,CFR,CFR,CIEN,CMC,CNX,CMP,CMP,CMP,CNXC
67,CDNS,CDNS,CECO,CHD,CHD,CLC,CMP,COHR,CNK,CNK,CNK,COLM
68,CECO,CECO,CFR,CHS,CHS,CLGX,CNK,CONE,CNO,CNO,CNO,COTY
69,CFR,CFR,CHD,CIEN,CIEN,CLH,CNO,COR,CNX,CNX,CNX,CPRI
70,CHD,CHD,CHS,CLC,CLC,CLI,CNX,CPE,COHR,COHR,CNXC,CR
71,CHS,CHS,CIEN,CLGX,CLGX,CMC,CPRT,CPRT,CONE,CONE,COHR,CRI
72,CIEN,CIEN,CLGX,CLH,CLH,CMP,CPT,CPT,COR,COR,COLM,CROX
73,CLGX,CLGX,CLH,CLI,CLI,CNC,CR,CR,CPE,CPE,CONE,CRUS
74,CLH,CLH,CLI,CMC,CMC,CNK,CREE,CREE,CPT,CPT,COR,CSL
75,CLI,CLI,CMC,CMP,CMP,CNL,CRI,CRI,CR,CR,COTY,CUZ
76,CMC,CMC,CMG,CNK,CNK,CNO,CRL,CRL,CREE,CREE,CPT,CVLT
77,CMG,CMG,CMP,CNL,CNL,CNW,CRS,CRS,CRI,CRI,CR,CW
78,CMP,CMP,CNL,CNQR,CNQR,COO,CRUS,CRUS,CRL,CRL,CREE,DAN
79,CNL,CNL,CNQR,CNW,CNW,CPRT,CSAL,CSL,CRS,CRS,CRI,DAR
